TYPE,"WEIGHT
(KG/M)","HEIGHT
(MM)","width
(MM)","WALL
THICKNESS
(MM)"
140 x 80 x 5 RHS,16.3,140,80,5
140 x 80 x 6 RHS,19.3,140,80,6
140 x 80 x 6.3 RHS,20.2,140,80,6.3
140 x 80 x 8 RHS,25.1,140,80,8
140 x 80 x 10 RHS,30.6,140,80,10
150 x 100 x 4 RHS,15.1,150,100,4
150 x 100 x 5 RHS,18.6,150,100,5
150 x 100 x 6 RHS,22.1,150,100,6
150 x 100 x 6.3 RHS,23.1,150,100,6.3
150 x 100 x 8 RHS,28.9,150,100,8
150 x 100 x 10 RHS,35.3,150,100,10
150 x 100 x 12 RHS,41.4,150,100,12
150 x 100 x 12.5 RHS,42.8,150,100,12.5
160 x 80 x 4 RHS,14.4,160,80,4
160 x 80 x 5 RHS,17.8,160,80,5
160 x 80 x 6 RHS,21.2,160,80,6
160 x 80 x 6.3 RHS,22.2,160,80,6.3
160 x 80 x 8 RHS,27.6,160,80,8
160 x 80 x 10 RHS,33.7,160,80,10
160 x 80 x 12 RHS,39.5,160,80,12
160 x 80 x 12.5 RHS,40.9,160,80,12.5
180 x 100 x 4 RHS,16.9,180,100,4
180 x 100 x 5 RHS,21,180,100,5
180 x 100 x 6 RHS,24.9,180,100,6
180 x 100 x 6.3 RHS,26.1,180,100,6.3
180 x 100 x 8 RHS,32.6,180,100,8
180 x 100 x 10 RHS,40,180,100,10
180 x 100 x 12 RHS,"47,0",180,100,12
180 x 100 x 12.5 RHS,"48,7",180,100,"12,5"
200 x 100 x 4 RHS,"18,1",200,100,4
200 x 100 x 5 RHS,"22,6",200,100,5
200 x 100 x 6 RHS,"26,8",200,100,6
200 x 100 x 6.3 RHS,"28,1",200,100,"6,3"
200 x 100 x 8 RHS,"35,1",200,100,8
200 x 100 x 10 RHS,"43,1",200,100,10
200 x 100 x 12 RHS,"50,8",200,100,12
200 x 100 x 12.5 RHS,"52,7",200,100,"12,5"
200 x 100 x 16 RHS,"65,2",200,100,16
200 x 120 x 6 RHS,"28,7",200,120,6
200 x 120 x 6.3 RHS,"29,9",200,120,"6,3"
200 x 120 x 8 RHS,"37,3",200,120,8
200 x 120 x 10 RHS,"45,9",200,120,10
200 x 120 x 12 RHS,"54,5",200,120,12
200 x 120 x 12.5 RHS,"55,7",200,120,"12,5"
250 x 150 x 5 RHS,"30,4",250,150,5
250 x 150 x 6 RHS,"36,2",250,150,6
250 x 150 x 6.3 RHS,"38,0",|250,150,"6,3"
250 x 150 x 8 RHS,"47,7",250,150,8
250 x 150 x 10 RHS,"58,8",250,150,10
250 x 150 x 12 RHS,"69,6",250,150,12
250 x 150 x 12.5 RHS,"72,3",250,150,"12,5"
250 x 150 x 16 RHS,"90,3",250,150,16
260 x 180 x 6 RHS,"40,0",260,180,6
260 x 180 x 6.3 RHS,"41,9",260,180,"6,3"
260 x 180 x 8 RHS,"52,7",260,180,8
260 x 180 x 10 RHS,"65,1",260,180,10
260 x 180 x 12 RHS,"77,2",260,180,12
260 x 180 x 12.5 RHS,"80,1",260,180,"12,5"
260 x 180 x 16 RHS,"100,0",260,180,16
300 x 200 x 5 RHS,"38,3",300,200,5
300 x 200 x 6 RHS,"45,7",300,200,6
300 x 200 x 6.3 RHS,"47,9",300,200,"6,3"
300 x 200 x 8 RHS,"60,3",300,200,8
300 x 200 x 10 RHS,"74,5",300,200,10
300 x 200 x 12 RHS,"88,5",300,200,12
300 x 200 x 12.5 RHS,"91,9",300,200,"12,5"
300 x 200 x 16 RHS,"115,0",300,200,16
350 x 250 x 6 RHS,"55,1",350,250,6
350 x 250 x 6.3 RHS,"57,8",350,250,"6,3"
350 x 250 x 8 RHS,"72,8",350,250,8
350 x 250 x 10 RHS,"90,2",350,250,10
350 x 250 x 12 RHS,"107,0",|350,250,12
350 x 250 x 12.5 RHS,"112,0",350,250,"12,5"
350 x 250 x 16 RHS,"141,0",350,250,16
400 x 200 x 6 RHS,"55,1",400,200,6
400 x 200 x 6.3 RHS,"57,8",400,200,"6,3"
400 x 200 x 8 RHS,"72,8",400,200,8
400 x 200 x 10 RHS,"90,2",400,200,10
400 x 200 x 12 RHS,"107,0",400,200,12
400 x 200 x 12.5 RHS,"112,0",400,200,"12,5"
400 x 200 x 16 RHS,"141,0",400,200,16
450 x 250 x 8 RHS,"85,4",450,250,8
450 x 250 x 10 RHS,"106,0",450,250,10
450 x 250 x 12 RHS,"126,0",450,250,12
450 x 250 x 12.5 RHS,"131,0",450,250,"12,5"
450 x 250 x 12.5 RHS,"131,0",450,250,"12,5"
450 x 250 x 16 RHS,"166,0",450,250,16
500 x 300 x 8 RHS,"97,9",500,300,8
500 x 300 x 10 RHS,"122,0",500,300,10
500 x 300 x 12 RHS,"145,0",500,300,12
500 x 300 x 12.5 RHS,"151,0",500,300,"12,5"
500 x 300 x 16 RHS,"191,0",500,300,16
500 x 300 x 20 RHS,"235,0",500,300,20
